Netid  State    Recv-Q   Send-Q                        Local Address:Port                                      Peer Address:Port                                
u_str  ESTAB    0        0               /run/systemd/journal/stdout 39121                                                * 39120                               
u_str  ESTAB    0        0                                         * 32905                                                * 32531                               
u_str  ESTAB    0        0                                         * 30577                                                * 31788                               
u_str  ESTAB    0        0                                         * 20115                                                * 20947                               
u_str  ESTAB    0        0                                         * 33182                                                * 32689                               
u_str  ESTAB    0        0                                         * 30503                                                * 31606                               
u_str  ESTAB    0        0                                         * 29573                                                * 29574                               
u_str  ESTAB    0        0                       @/tmp/dbus-7geNk9wH 39196                                                * 39195                               
u_str  ESTAB    0        0                                         * 31603                                                * 31604                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 29656                                                * 29655                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28950                                                * 28949                               
u_str  ESTAB    0        0                /run/user/121/pulse/native 28082                                                * 29175                               
u_str  ESTAB    0        0                                         * 28840                                                * 28841                               
u_str  ESTAB    0        0                                         * 23593                                                * 23594                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 39126                                                * 38241                               
u_str  ESTAB    0        0                                         * 39120                                                * 39121                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 32531                                                * 32905                               
u_str  ESTAB    0        0                                         * 30548                                                * 31618                               
u_str  ESTAB    0        0                                         * 21992                                                * 23184                               
u_str  ESTAB    0        0                                         * 21972                                                * 23138                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 33281                                                * 33280                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31606                                                * 30503                               
u_str  ESTAB    0        0                                         * 26927                                                * 26928                               
u_str  ESTAB    0        0                                         * 31658                                                * 31659                               
u_str  ESTAB    0        0                                         * 28952                                                * 28953                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27724                                                * 27519                               
u_str  ESTAB    0        0                         /run/user/121/bus 28084                                                * 29183                               
u_str  ESTAB    0        0                                         * 28873                                                * 28874                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 23594                                                * 23593                               
u_str  ESTAB    0        0                                         * 39130                                                * 39131                               
u_str  ESTAB    0        0                                         * 38241                                                * 39126                               
u_str  ESTAB    0        0                                         * 32906                                                * 32532                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31618                                                * 30548                               
u_str  ESTAB    0        0                                         * 25273                                                * 24482                               
u_str  ESTAB    0        0                                         * 21931                                                * 21494                               
u_str  ESTAB    0        0                       @/tmp/dbus-7geNk9wH 33983                                                * 33239                               
u_str  ESTAB    0        0                                         * 30504                                                * 31610                               
u_str  ESTAB    0        0                       @/tmp/dbus-H6bCGWrS 28124                                                * 29305                               
u_str  ESTAB    0        0                     @/tmp/.X11-unix/X1024 26928                                                * 26927                               
u_str  ESTAB    0        0                                         * 32611                                                * 32612                               
u_str  ESTAB    0        0                      @/tmp/.ICE-unix/1444 31525                                                * 31524                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28953                                                * 28952                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27559                                                * 27558                               
u_str  ESTAB    0        0                                         * 29183                                                * 28084                               
u_str  ESTAB    0        0                                         * 28837                                                * 28838                               
u_str  ESTAB    0        0                        /run/user/1000/bus 38242                                                * 39132                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 39072                                                * 38154                               
u_str  ESTAB    0        0                                         * 38980                                                * 38981                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31718                                                * 30573                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 20947                                                * 20115                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 32636                                                * 33172                               
u_str  ESTAB    0        0                                         * 30480                                                * 31596                               
u_str  ESTAB    0        0                                         * 26978                                                * 26226                               
u_str  ESTAB    0        0                                         * 32588                                                * 32990                               
u_str  ESTAB    0        0                                         * 31655                                                * 31656                               
u_str  ESTAB    0        0                                         * 29655                                                * 29656                               
u_str  ESTAB    0        0                         /run/user/121/bus 28031                                                * 28904                               
u_str  ESTAB    0        0                                         * 29159                                                * 28076                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28838                                                * 28837                               
u_str  ESTAB    0        0                                         * 39132                                                * 38242                               
u_str  ESTAB    0        0                                         * 38154                                                * 39072                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 38981                                                * 38980                               
u_str  ESTAB    0        0                                         * 30598                                                * 31793                               
u_str  ESTAB    0        0                        /run/user/1000/bus 33981                                                * 33238                               
u_str  ESTAB    0        0                                         * 30526                                                * 31612                               
u_str  ESTAB    0        0                                         * 29568                                                * 29570                               
u_str  ESTAB    0        0                         /run/user/121/bus 26210                                                * 26938                               
u_str  ESTAB    0        0                                         * 39420                                                * 38341                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 31652                                                * 31651                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28899                                                * 28898                               
u_str  ESTAB    0        0                                         * 27535                                                * 27536                               
u_str  ESTAB    0        0                                         * 29791                                                * 30804                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 28076                                                * 29159                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28814                                                * 28813                               
u_str  ESTAB    0        0                        /run/user/1000/bus 38153                                                * 38152                               
u_str  ESTAB    0        0                                         * 38987                                                * 38988                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32938                                                * 32937                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 31788                                                * 30577                               
u_str  ESTAB    0        0                                         * 21990                                                * 23182                               
u_str  ESTAB    0        0                                         * 33243                                                * 33244                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31611                                                * 30525                               
u_str  ESTAB    0        0                                         * 26938                                                * 26210                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32515                                                * 32822                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31650                                                * 31649                               
u_str  ESTAB    0        0                                         * 30838                                                * 29798                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 27536                                                * 27535                               
u_str  ESTAB    0        0                                         * 29782                                                * 29783                               
u_str  ESTAB    0        0                                         * 29155                                                * 29157                               
u_str  ESTAB    0        0                     @/tmp/.X11-unix/X1024 27996                                                * 28818                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 38238                                                * 38237                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 38147                                                * 38985                               
u_str  ESTAB    0        0                        /run/user/1000/bus 32933                                                * 32932                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31720                                                * 30574                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 23184                                                * 21992                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 33244                                                * 33243                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31591                                                * 30458                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 28600                                                * 28599                               
u_str  ESTAB    0        0                                         * 26956                                                * 26957                               
u_str  ESTAB    0        0               /run/user/1000/pulse/native 32990                                                * 32588                               
u_str  ESTAB    0        0                                         * 31649                                                * 31650                               
u_str  ESTAB    0        0                                         * 28901                                                * 28902                               
u_str  ESTAB    0        0                      @/tmp/.ICE-unix/1106 27538                                                * 27537                               
u_str  ESTAB    0        0                                         * 29176                                                * 29177                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28871                                                * 28870                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 23355                                                * 22315                               
u_str  ESTAB    0        0                                         * 38247                                                * 39133                               
u_str  ESTAB    0        0                                         * 39075                                                * 38156                               
u_str  ESTAB    0        0                                         * 30575                                                * 30576                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 23182                                                * 21990                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 23138                                                * 21972                               
u_str  ESTAB    0        0                                         * 33280                                                * 33281                               
u_str  ESTAB    0        0                                         * 30459                                                * 31592                               
u_str  ESTAB    0        0                                         * 29305                                                * 28124                               
u_str  ESTAB    0        0                     @/tmp/dbus-arxCE4kemL 26957                                                * 26956                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32514                                                * 32821                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31602                                                * 31601                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28902                                                * 28901                               
u_str  ESTAB    0        0                                         * 27537                                                * 27538                               
u_str  ESTAB    0        0                                         * 29175                                                * 28082                               
u_str  ESTAB    0        0                                         * 28879                                                * 28029                               
u_str  ESTAB    0        0                                         * 22315                                                * 23355                               
u_str  ESTAB    0        0                                         * 38157                                                * 38158                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 38156                                                * 39075                               
u_str  ESTAB    0        0                                         * 33089                                                * 32602                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31617                                                * 30547                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 20721                                                * 19833                               
u_str  ESTAB    0        0                                         * 33129                                                * 32609                               
u_str  ESTAB    0        0                                         * 30525                                                * 31611                               
u_str  ESTAB    0        0                       @/tmp/dbus-f2wXGdJ9 28139                                                * 29343                               
u_str  ESTAB    0        0                         /run/user/121/bus 26166                                                * 26933                               
u_str  ESTAB    0        0                                         * 32825                                                * 32826                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31656                                                * 31655                               
u_str  ESTAB    0        0                /run/user/121/pulse/native 26556                                                * 27380                               
u_str  ESTAB    0        0                                         * 29181                                                * 29182                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28874                                                * 28873                               
u_str  ESTAB    0        0                                         * 23565                                                * 23508                               
u_str  ESTAB    0        0                                         * 38237                                                * 38238                               
u_str  ESTAB    0        0                                         * 38985                                                * 38147                               
u_str  ESTAB    0        0                                         * 32932                                                * 32933                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31793                                                * 30598                               
u_str  ESTAB    0        0                                         * 19833                                                * 20721                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 32609                                                * 33129                               
u_str  ESTAB    0        0                                         * 30502                                                * 31605                               
u_str  ESTAB    0        0                                         * 29343                                                * 28139                               
u_str  ESTAB    0        0                /run/user/121/pulse/native 26410                                                * 26982                               
u_str  ESTAB    0        0                        /run/user/1000/bus 32826                                                * 32825                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31604                                                * 31603                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28928                                                * 28927                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 29783                                                * 29782                               
u_str  ESTAB    0        0                     @/tmp/.X11-unix/X1024 29177                                                * 29176                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28841                                                * 28840                               
u_str  ESTAB    0        0                       @/tmp/dbus-7geNk9wH 31137                                                * 31136                               
u_str  ESTAB    0        0                                         * 27896                                                * 27897                               
u_str  ESTAB    0        0                                         * 21698                                                * 21203                               
u_str  ESTAB    0        0                                         * 20395                                                * 21105                               
u_str  ESTAB    0        0                                         * 31116                                                * 30062                               
u_str  ESTAB    0        0                                         * 28690                                                * 27984                               
u_str  ESTAB    0        0                                         * 21182                                                * 21183                               
u_str  ESTAB    0        0                                         * 26548                                                * 26549                               
u_str  ESTAB    0        0                                         * 32608                                                * 33090                               
u_str  ESTAB    0        0                        /run/user/1000/bus 32809                                                * 32806                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31841                                                * 30651                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 22683                                                * 22682                               
u_str  ESTAB    0        0                        /run/user/1000/bus 30180                                                * 31142                               
u_str  ESTAB    0        0                     @/tmp/.X11-unix/X1024 27897                                                * 27896                               
